TMIN_0,TMIN_1,TMIN_2,TMIN_3,TMIN_4,TMIN_5,TMIN_6,TMIN_7,TMIN_8
4.508675651135068,6.1815973405491285,7.85451902996319,9.527440719377251,11.200362408791312,12.873284098205373,14.546205787619435,16.219127477033496,17.892049166447556
4.686118515531104,6.4292037452297635,8.172288974928424,9.915374204627083,11.658459434325742,13.401544664024403,15.144629893723064,16.88771512342172,18.63080035312038
4.845265300831643,6.518414318642376,8.19156333645311,9.864712354263844,11.537861372074577,13.21101038988531,14.884159407696043,16.557308425506776,18.23045744331751
4.693011987987051,6.422551016352902,8.152090044718753,9.881629073084603,11.611168101450453,13.340707129816304,15.070246158182155,16.799785186548007,18.529324214913856
4.69121727052746,6.386694420111997,8.082171569696534,9.777648719281071,11.473125868865608,13.168603018450145,14.864080168034683,16.55955731761922,18.255034467203757
5.167281261888277,6.831297211680816,8.495313161473355,10.159329111265896,11.823345061058435,13.487361010850973,15.151376960643514,16.815392910436053,18.47940886022859
4.633429017423349,6.328098130442236,8.022767243461125,9.717436356480011,11.4121054694989,13.106774582517787,14.801443695536676,16.496112808555562,18.19078192157445
4.76757655961292,6.472867882978109,8.178159206343299,9.88345052970849,11.58874185307368,13.29403317643887,14.999324499804061,16.70461582316925,18.40990714653444
4.776650298179593,6.46880587767906,8.160961457178527,9.853117036677995,11.545272616177462,13.237428195676928,14.929583775176397,16.621739354675864,18.31389493417533
5.104389774764491,6.7269257865374845,8.349461798310479,9.971997810083472,11.594533821856466,13.21706983362946,14.839605845402453,16.462141857175446,18.08467786894844
4.774974963044537,6.463995635916316,8.153016308788095,9.842036981659874,11.53105765453165,13.22007832740343,14.909099000275209,16.59811967314699,18.287140346018766
4.945643583978068,6.629688724264211,8.313733864550354,9.997779004836497,11.68182414512264,13.365869285408783,15.049914425694926,16.733959565981067,18.41800470626721
5.027909848071749,6.758661816033421,8.489413783995094,10.220165751956767,11.95091771991844,13.681669687880111,15.412421655841785,17.143173623803456,18.87392559176513
